name,season,fantasy_points,cluster
Patrick Mahomes,2018,417.08,High Tier
Patrick Mahomes,2022,416.4,High Tier
Justin Herbert,2021,382.76,High Tier
Aaron Rodgers,2020,382.26,High Tier
Patrick Mahomes,2020,374.4,High Tier
Russell Wilson,2017,347.92,Mid Tier
Deshaun Watson,2018,331.7,Mid Tier
Bo Nix,2024,316.2,Mid Tier
Kyler Murray,2021,299.78000000000003,Mid Tier
Kyler Murray,2024,297.24,Mid Tier
Kenny Pickett,2023,110.2,Bottom Tier
Teddy Bridgewater,2019,90.46000000000001,Bottom Tier
Tyrod Taylor,2023,87.34,Bottom Tier
Jacoby Brissett,2021,72.32000000000001,Bottom Tier
Cooper Rush,2022,56.64,Bottom Tier
Lamar Jackson,2024,430.38000000000005,Elite
Lamar Jackson,2019,415.68,Elite
Josh Allen,2021,402.58,Elite
Josh Allen,2022,395.52,Elite
Josh Allen,2020,395.06,Elite
Jameis Winston,2019,305.36,Low Tier
Sam Howell,2023,256.54,Low Tier
Baker Mayfield,2019,235.42000000000002,Low Tier
Trevor Lawrence,2021,199.04,Low Tier
Davis Mills,2022,181.52,Low Tier
