Feature_1,Feature_2,Correlation
yards_per_reception_vs_weighted_avg_pct,yards_per_reception_vs_3yr_avg_pct,0.9998549987859066
yards_per_target_vs_weighted_avg_pct,yards_per_target_vs_3yr_avg_pct,0.9996842368750268
reception_ratio_vs_weighted_avg_pct,reception_ratio_vs_3yr_avg_pct,0.9916161379320029
yards_per_target_vs_weighted_avg,yards_per_target_vs_3yr_avg,0.9879419617002521
yards_per_reception_vs_weighted_avg,yards_per_reception_vs_3yr_avg,0.986945977932481
reception_ratio_vs_weighted_avg,reception_ratio_vs_3yr_avg,0.9862260129923308
reception_ratio_weighted_avg,reception_ratio_3yr_avg,0.9797564455638593
yards_per_reception_weighted_avg,yards_per_reception_3yr_avg,0.9785360226709479
yards_per_target_weighted_avg,yards_per_target_3yr_avg,0.9769402544475358
yards_per_target_3yr_avg,yards_per_reception_3yr_avg,0.9748098523727369
yards_per_target_weighted_avg,yards_per_reception_weighted_avg,0.9676093220785996
yards_per_target_pct_change,yards_per_reception_pct_change,0.9537106015032338
yards_per_target_3yr_avg,yards_per_reception_weighted_avg,0.9509848606857572
yards_per_target_weighted_avg,yards_per_reception_3yr_avg,0.9493590853300242
yards_per_target_vs_weighted_avg_pct,yards_per_reception_vs_weighted_avg_pct,0.9408112941528479
yards_per_target_vs_weighted_avg_pct,yards_per_reception_vs_3yr_avg_pct,0.9406308174623055
yards_per_target_vs_3yr_avg_pct,yards_per_reception_vs_3yr_avg_pct,0.9403357826959545
yards_per_target_vs_3yr_avg_pct,yards_per_reception_vs_weighted_avg_pct,0.9401065713722679
reception_ratio_vs_weighted_avg,reception_ratio_vs_3yr_avg_pct,0.9326671304967453
yards_per_target_vs_3yr_avg,yards_per_reception_vs_3yr_avg,0.9175090172276111
yards_per_target_vs_weighted_avg,yards_per_reception_vs_weighted_avg,0.9164594464878197
yards_per_target_vs_3yr_avg,yards_per_reception_vs_weighted_avg,0.9087516320442104
yards_per_target,yards_per_reception,0.9045845189811969
reception_ratio_vs_weighted_avg_pct,reception_ratio_vs_weighted_avg,0.9040192857297152
reception_ratio_vs_3yr_avg_pct,reception_ratio_vs_3yr_avg,0.9036191870280023
yards_per_target_vs_weighted_avg,yards_per_reception_vs_3yr_avg,0.9016593151725317
reception_ratio_3yr_avg,yards_per_target_3yr_avg,0.8954156372839385
reception_ratio_weighted_avg,yards_per_target_3yr_avg,0.8779644843874276
yards_per_target_change,yards_per_reception_change,0.8751000074722007
reception_ratio_weighted_avg,yards_per_target_weighted_avg,0.8732517501595215
reception_ratio_vs_weighted_avg_pct,reception_ratio_vs_3yr_avg,0.8608182478923809
reception_ratio_3yr_avg,yards_per_target_weighted_avg,0.8560574907798366
