,passing_td_to_int_ratio,aggressive_efficacy,sticks_targeting,air_yards_differential,yards_per_reception,receiving_percentage,rush_over_expected_efficiency,decision_speed,reception_ratio,yards_per_target,separation_score,yac_ability,air_yard_share,ppr_boost,durability_score
passing_td_to_int_ratio,1.0,0.24788198383882576,0.13582293255416641,0.1758105423821824,-0.3242958931114963,-0.288784393526888,0.021092018740179002,-0.02177808498505545,-0.31473638937290666,-0.3072116584130226,-0.0062980618942027975,0.024040818073853953,0.07073399012890731,-0.009261755693150566,0.10763568499989126
aggressive_efficacy,0.24788198383882576,1.0,0.10192600989408054,0.1758753568350234,0.0031776081764934875,0.036823944293953505,,,0.11092140476327082,0.003129455547591577,,,,,0.07297497069525968
sticks_targeting,0.13582293255416641,0.10192600989408054,1.0,-0.1558174931093124,-0.017501469892374007,0.037127222941500906,,,0.020989284183603015,-0.016893969172793028,,,,,0.09851332822557637
air_yards_differential,0.1758105423821824,0.1758753568350234,-0.1558174931093124,1.0,0.022843518762340594,-0.049385155989217014,,,0.06162470691598313,0.02112728576899598,,,,,0.09624563006554707
yards_per_reception,-0.3242958931114963,0.0031776081764934875,-0.017501469892374007,0.022843518762340594,1.0,0.6344293326121717,0.11748327423304192,-0.05172479874719507,0.49626827266011736,0.9045845189811969,-0.24279781128229716,0.2357864012745335,0.4914582830746551,0.20347243676719295,0.22777593464543106
receiving_percentage,-0.288784393526888,0.036823944293953505,0.037127222941500906,-0.049385155989217014,0.6344293326121717,1.0,-0.2310758382183878,0.004710317216621804,0.40760324546912163,0.57789574764894,-0.1553825932173417,-0.04567407812805382,0.02375415895911641,0.16919734319042126,0.1582810518525156
rush_over_expected_efficiency,0.021092018740179002,,,,0.11748327423304192,-0.2310758382183878,1.0,-0.05987281261942326,0.029643840555855904,0.1422822695820577,,,,0.06297215597476676,0.09021756377943979
decision_speed,-0.02177808498505545,,,,-0.05172479874719507,0.004710317216621804,-0.05987281261942326,1.0,-0.05109590877728595,-0.06621169869868349,,,,-0.09348680551574483,-0.028763540180971173
reception_ratio,-0.31473638937290666,0.11092140476327082,0.020989284183603015,0.06162470691598313,0.49626827266011736,0.40760324546912163,0.029643840555855904,-0.05109590877728595,1.0,0.6388992063366327,0.3829823965876934,0.03385182153930125,-0.29034927867259036,0.1401100331484259,0.20616414766828323
yards_per_target,-0.3072116584130226,0.003129455547591577,-0.016893969172793028,0.02112728576899598,0.9045845189811969,0.57789574764894,0.1422822695820577,-0.06621169869868349,0.6388992063366327,1.0,0.011925274514235213,0.2512504793676852,0.29304268995708627,0.1999219524669113,0.2012574288311786
separation_score,-0.0062980618942027975,,,,-0.24279781128229716,-0.1553825932173417,,,0.3829823965876934,0.011925274514235213,1.0,0.10783441025474354,-0.40734335778629843,-0.03566786258253828,-0.02254742973652037
yac_ability,0.024040818073853953,,,,0.2357864012745335,-0.04567407812805382,,,0.03385182153930125,0.2512504793676852,0.10783441025474354,1.0,0.019397476721033178,0.047539702293693725,0.027827051363299556
air_yard_share,0.07073399012890731,,,,0.4914582830746551,0.02375415895911641,,,-0.29034927867259036,0.29304268995708627,-0.40734335778629843,0.019397476721033178,1.0,0.39435543137912465,0.24513195088362716
ppr_boost,-0.009261755693150566,,,,0.20347243676719295,0.16919734319042126,0.06297215597476676,-0.09348680551574483,0.1401100331484259,0.1999219524669113,-0.03566786258253828,0.047539702293693725,0.39435543137912465,1.0,0.5573499531840188
durability_score,0.10763568499989126,0.07297497069525968,0.09851332822557637,0.09624563006554707,0.22777593464543106,0.1582810518525156,0.09021756377943979,-0.028763540180971173,0.20616414766828323,0.2012574288311786,-0.02254742973652037,0.027827051363299556,0.24513195088362716,0.5573499531840188,1.0
